timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz]
2026/08/15 03:56:20.154, 100 %, 87637 MiB, 503.80 W, 64, 2355 MHz
2026/08/15 03:56:25.155, 100 %, 87637 MiB, 495.86 W, 67, 2355 MHz
2026/08/15 03:56:30.155, 100 %, 87639 MiB, 495.83 W, 66, 2355 MHz
2026/08/15 03:56:35.156, 100 %, 87639 MiB, 497.67 W, 64, 2355 MHz
2026/08/15 03:56:40.156, 100 %, 87639 MiB, 497.48 W, 66, 2362 MHz
2026/08/15 03:56:45.157, 100 %, 87639 MiB, 495.29 W, 68, 2355 MHz
2026/08/15 03:56:50.157, 100 %, 87639 MiB, 492.72 W, 69, 2362 MHz
2026/08/15 03:56:55.158, 99 %, 87639 MiB, 495.46 W, 65, 2362 MHz
2026/08/15 03:57:00.158, 100 %, 87639 MiB, 493.22 W, 65, 2362 MHz
2026/08/15 03:57:05.159, 100 %, 87639 MiB, 492.96 W, 67, 2362 MHz
2026/08/15 03:57:10.159, 100 %, 87639 MiB, 488.56 W, 70, 2362 MHz
2026/08/15 03:57:15.160, 100 %, 87639 MiB, 493.32 W, 68, 2355 MHz
2026/08/15 03:57:20.160, 100 %, 87639 MiB, 488.34 W, 70, 2362 MHz
2026/08/15 03:57:25.161, 100 %, 87639 MiB, 500.39 W, 71, 2370 MHz
2026/08/15 03:57:30.161, 97 %, 89943 MiB, 356.63 W, 62, 2415 MHz
2026/08/15 03:57:35.162, 98 %, 89943 MiB, 399.72 W, 60, 2415 MHz
2026/08/15 03:57:40.163, 0 %, 89943 MiB, 90.11 W, 52, 2422 MHz
2026/08/15 03:57:45.163, 0 %, 89943 MiB, 88.59 W, 48, 2422 MHz
2026/08/15 03:57:50.164, 0 %, 89943 MiB, 85.65 W, 46, 2422 MHz
2026/08/15 03:57:55.164, 97 %, 89943 MiB, 390.88 W, 52, 2415 MHz
2026/08/15 03:58:00.165, 97 %, 89943 MiB, 391.31 W, 53, 2415 MHz
2026/08/15 03:58:05.165, 0 %, 89943 MiB, 87.49 W, 45, 2422 MHz
2026/08/15 03:58:10.166, 0 %, 89943 MiB, 93.22 W, 43, 2340 MHz
2026/08/15 03:58:15.166, 0 %, 89943 MiB, 90.62 W, 42, 2340 MHz
2026/08/15 03:58:20.167, 98 %, 89943 MiB, 341.74 W, 49, 2407 MHz
