timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz]
2026/08/15 02:36:01.281, 98 %, 90031 MiB, 430.79 W, 58, 2407 MHz
2026/08/15 02:36:06.282, 98 %, 91471 MiB, 449.56 W, 59, 2392 MHz
2026/08/15 02:36:11.282, 98 %, 91471 MiB, 447.74 W, 59, 2392 MHz
2026/08/15 02:36:16.283, 98 %, 94207 MiB, 448.55 W, 59, 2400 MHz
2026/08/15 02:36:21.283, 99 %, 94207 MiB, 452.66 W, 60, 2392 MHz
2026/08/15 02:36:26.284, 98 %, 94207 MiB, 449.65 W, 60, 2392 MHz
2026/08/15 02:36:31.284, 98 %, 94207 MiB, 458.51 W, 61, 2400 MHz
2026/08/15 02:36:36.285, 0 %, 1699 MiB, 181.87 W, 52, 2430 MHz
2026/08/15 02:36:41.286, 0 %, 1699 MiB, 84.79 W, 48, 2430 MHz
2026/08/15 02:36:46.286, 0 %, 0 MiB, 50.19 W, 45, 180 MHz
2026/08/15 02:36:51.287, 0 %, 0 MiB, 34.41 W, 42, 180 MHz
2026/08/15 02:36:56.287, 0 %, 3 MiB, 33.43 W, 40, 180 MHz
2026/08/15 02:37:01.288, 0 %, 3 MiB, 32.46 W, 39, 180 MHz
2026/08/15 02:37:06.288, 0 %, 1583 MiB, 86.05 W, 39, 2332 MHz
2026/08/15 02:37:11.289, 12 %, 31451 MiB, 90.55 W, 39, 2332 MHz
2026/08/15 02:37:16.289, 0 %, 84833 MiB, 87.57 W, 38, 2332 MHz
2026/08/15 02:37:21.290, 44 %, 85495 MiB, 212.49 W, 45, 2370 MHz
2026/08/15 02:37:26.290, 26 %, 85749 MiB, 144.00 W, 41, 2302 MHz
2026/08/15 02:37:31.291, 23 %, 85919 MiB, 156.82 W, 41, 2280 MHz
2026/08/15 02:37:36.291, 21 %, 87003 MiB, 174.93 W, 40, 2325 MHz
2026/08/15 02:37:41.292, 97 %, 87829 MiB, 332.58 W, 44, 2325 MHz
2026/08/15 02:37:46.292, 97 %, 87829 MiB, 307.08 W, 45, 2422 MHz
2026/08/15 02:37:51.293, 98 %, 87973 MiB, 308.82 W, 46, 2422 MHz
2026/08/15 02:37:56.293, 97 %, 87973 MiB, 314.07 W, 47, 2422 MHz
2026/08/15 02:38:01.294, 98 %, 87973 MiB, 315.03 W, 48, 2422 MHz
2026/08/15 02:38:06.294, 97 %, 87973 MiB, 314.98 W, 48, 2422 MHz
2026/08/15 02:38:11.295, 97 %, 87973 MiB, 313.71 W, 49, 2422 MHz
2026/08/15 02:38:16.295, 97 %, 87973 MiB, 316.39 W, 49, 2422 MHz
2026/08/15 02:38:21.296, 97 %, 87973 MiB, 316.51 W, 49, 2422 MHz
2026/08/15 02:38:26.296, 98 %, 87973 MiB, 316.67 W, 50, 2422 MHz
2026/08/15 02:38:31.297, 97 %, 87973 MiB, 317.24 W, 50, 2422 MHz
